pertSize,reactionTime,initialResponse
100,2.83799371063651,-1
25,6.16799610400631,1
-50,3.48299435854278,1
-200,1.7810000336176,1
150,1.6719913917841,-1
300,1.30199175775488,-1
-25,3.77999638307665,1
0,7.06899874770897,1
-300,0.0139945368791814,1
50,2.89099810051994,-1
-100,1.04799139142415,1
0,5.70400088227325,-1
200,0.858993365174683,-1
-150,2.43400104868488,1
-100,3.56699706423387,1
-25,4.44299589622096,1
50,3.55099503374367,-1
200,1.05800109494157,-1
-150,2.50999955690349,1
-300,1.87300098455307,1
25,5.41199862241774,-1
0,8.25199705219711,-1
300,0.830992610812245,-1
-50,8.08299677646573,1
100,1.94900045502436,-1
0,4.24199970257905,-1
-200,0.634993905187002,1
150,NaN,NaN
-150,2.34299188244768,1
200,1.48899884975253,-1
0,4.22199144971819,-1
-100,1.88099645555485,1
50,4.50899619365373,1
-300,0.922998734837165,1
0,5.46900124311651,-1
-25,4.04299861539039,1
300,0.788994243383058,-1
150,2.92000005722366,-1
-200,0.750994063615508,1
-50,3.17299923134124,1
25,4.94499539757089,-1
100,4.94099597239983,-1
150,2.23399990463804,-1
-200,1.10299966442835,1
0,4.10899387967947,-1
100,2.72699779510731,-1
-50,3.2790011106772,-1
300,0.77500024116307,-1
0,5.68699723851751,1
25,4.36099909437326,-1
-300,2.41799664461723,1
-150,2.39599432730756,1
200,2.05099223494472,-1
50,2.64399428629986,-1
-25,5.3139990686177,-1
-100,1.2219966588018,1
