pertSize,reactionTime,initialResponse
-150,0.681999156353413,1
200,0.698999087806442,-1
0,1.45000422465819,1
-100,0.492002678867721,1
50,2.79099726760614,-1
-300,0.859999461172265,1
0,1.32000462675205,-1
-25,0.850001032587897,1
300,0.889001402734721,-1
150,1.01099852967309,-1
-200,0.681002644778346,1
-50,2.159995201946,1
25,3.20900076699036,-1
100,1.54699764025281,-1
150,0.991003290771914,-1
-200,1.05899913668691,1
0,2.52000089859939,1
100,1.75499881673022,-1
-50,1.1119953725356,1
300,1.4830041800742,-1
0,2.01299993419525,1
25,2.02800422310975,-1
-300,0.631000120876706,1
-150,0.899004374739889,1
200,0.967995962018904,-1
50,3.27199561178713,-1
-25,2.51000017821934,1
-100,1.577001587626,1
-150,0.671001559734577,1
