pertSize,reactionTime,initialResponse
-150,0.994999474525684,1
200,1.23800018596376,-1
0,4.51899626528757,1
-100,1.49700249957823,1
50,5.4950000911922,1
-300,0.11299680328375,1
0,4.59099908029748,1
-25,3.21899772095639,1
300,1.3739986461369,-1
150,2.46100360572018,-1
-200,0.572000427840976,1
-50,2.31899777555373,1
25,2.66200289630797,-1
100,4.10700439965149,-1
150,1.38899684190255,-1
-200,0.337002371903509,1
0,3.31999525355786,1
100,1.60800186276174,-1
-50,3.00000231563899,1
300,0.621998947142856,-1
0,4.35100487661111,1
25,5.78199779963325,1
-300,0.366995890850376,-1
-150,1.69400039982429,1
200,1.33600425076293,-1
50,2.5580024008741,-1
-25,3.84699794900371,1
-100,2.16699902486289,1
-150,0.791000994198839,1
